aX,aY,aZ,gX,gY,gZ
1.804,0.777,4.000,32.532,26.855,7.446
1.735,0.777,4.000,70.068,49.866,-14.954
1.503,0.777,4.000,111.023,61.523,-41.016
1.169,0.797,4.000,151.733,65.063,-64.392
0.652,0.774,4.000,188.232,69.458,-81.299
0.159,0.711,3.975,210.632,83.740,-91.309
-0.360,0.667,3.425,221.191,105.713,-98.267
-0.758,0.642,3.011,223.328,144.409,-102.417
-0.989,0.631,2.731,223.816,189.941,-94.116
-1.121,0.645,2.465,227.112,213.501,-86.548
-1.268,0.668,2.146,235.046,210.449,-85.876
-1.415,0.713,1.755,247.681,195.984,-84.534
-1.517,0.747,1.319,261.353,182.678,-76.904
-1.550,0.777,0.788,275.940,168.274,-63.354
